Name,Address,Zip Code,State,Phone,Web URL,null-Address,Type,Style
Three Rivers Eskrima Concepts,"529 8th St., Ambridge ",15003,Pennsylvania,[724] 6501019,null,null,school,Eskrima
TriState Martial Arts Academy,"670 Woodbourne, Rd. Suite 300, Langhorne ",19047,Pennsylvania,[215] 7417041,null,null,school,
Warren School of Self Defense,"200 Liberty St., Warren ",16365,Pennsylvania,[814] 6889707,null,null,school,
Ryer Martial Arts Academy,"5440 Centre Avenue, Pittsburgh,",15232,Pensilvania,412-621-7937,www.ryeracademy.com,info@ryeracademy.com,School,
Three Rivers Eskrima Concepts,Pittsburgh,null,Pensilvania,(724)650-1019,www.inayanpgh.com,TREC.walls@gmail.com,School,Eskrima
Filipino Combative Arts Academy,"33 Shadey lea Rd., North Kingston ",02852,Rhode Island,null,null,null,school,
Filipino Combative Arts Academy,"33 Shady Lea Rd, North Kingstown",02852,Rhode Island,null,null,null@null.com,School,
"Petronelli's Te Combat Kuntao Ju Jitsu (tm), Soke Richard Petronelli","1117 Douglas Ave, North Providence",02904,Rhode Island,401-474-1155,www.PetronellisJuJitsu.com,PBLavallee@gmail.com,School,
"Petronelli's Te Combat Kuntao Ju Jitsu (tm), Soke Richard Petronelli"," 970 Douglas Pike, Smithfield",02917,Rhode Island, 401-474-1155,www.PetronellisJuJitsu.com,PBLavallee@gmail.com,School,
Filipino Combative Arts Academy,"33 Shadey lea Rd., North Kingston ",02852,South Carolina,[843] 4973691,null,null,school,
Ocean Martial Arts Academy,"407 79th Ave, N., Myrtle Beach ",29572,South Dakota,[605] 3482639,null,null,school,
"Makilas Pekiti Tersia Kali, Gurus Rich and Eddie",Address,null,state,(561) 342-1327,null,info@trainkali.com,School,
Midwest United Martial Arts,Address,null,State,null,www.MidwestUnitedMartialArts.com,info@midwestunitedmartialarts.com,School,
TAMA Warrior Arts,Address,null,State,null,http://tamawarriorarts.com/,null@null.com,School,
Inayan Martial Arts Academy,"30050 Axley Chapel, Greenback ",37742,Tennessee,null,null,null,school,
Malmo Martial Arts,Northwest Arkansas & Memphis,null,Tennessee,(479) 640-4455,http://malmomartialarts.com,null@anull.com,School,
Sanano Karate Club,"1019 Farlow Ave., Rapid City ",57701,Tennessee,[423] 3336132,null,null,school,
Academy of Modern Martial Arts,"2501 Texas Ave., College Station",null,Texas,[979] 2554311,null,null,school,
Carrollton Martial Arts,"3733 N. Josey Ln., #108B, Carrollton ",75007,Texas,[972] 3952589,null,null,school,
Cedar Hill Martial Arts Center,"310 E. Parkerville Rd., Cedar Hill ",75104,Texas,[972] 2932504,null,null,school,
Central Texas Academy of Martial Arts," 1304 West Hopkings, San Marcos ",78666,Texas,[512] 3931360,null,null,school,
Crows Martial Arts Academy,"2132 College Ave. Suite 600, Carrollton ",75006,Texas,[972] 4460024,null,null,school,
DAMAGINC Kali Combatives,Houston ,77377,Texas,null,null,null,school,
Dragon Flower Boxing,"Midland,",null,Texas,(432) 425-7217,null,chimatjan@aol.com,School,
Fighting Method University,"4840 Hwy 377 South, Fort Worth ",76108,Texas,[817] 9388888,null,null,school,
Fighting Method University,"3502 Williams Road, Fort Worth",76116,Texas,817-938-8888,http://fightingmethod.com,null@null.com,School,
Filipino American School of Combat Arts,"10304 Dyer St., El Paso ",79924,Texas,[915] 8219310,null,null,school,
Garland Martial Arts Center ,"2510 Crosslands Dr., Garland ",75040,Texas,(214) 7976202,null,null,school,
Hidden Sword Martial Arts,"501 Roanoke Rd (Roanoke Recreation Center), Roanoke ",76262,Texas,[682] 5647078,null,null,school,
Hidden Sword Martial Arts,"Roanoke Recreation Center, Roanoke",76262,Texas,null,null,hiddenswordma@yahoo.com,School,
Houston Martial Arts Academy,"(inside the Downtown Club at Houston Center), Houston ",77010,Texas,[713] 5506575,null,null,school,
Imua Tamaraw Escrima Kuntaw,"2324 Goilad Rd., San Antonio ",78223,Texas,[210] 3179463,null,null,school,Escrima
K3Lightning' (LSAI/LESKAS),Richmond ,77469,Texas,null,null,null,school,
Kali San Antonio,San Antonio,null,Texas,[210] 7970149 ,null,null,school,Kali
Kali San Antonio,Address,null,Texas,210-797-0179,null,marismarsh@netzero.com,School,Kali
Kali Silat Combat Science ,"104 Eagle Ave., Sheppard AFB ",76311,Texas,[940] 6424112 ,null,null,school,Kali
"Katipunan Kali Arts, Moro Silat, and Kamay-Hilot",Denton & Garland,null,Texas,"940-453-0030 
/ 469-471-8286",cebukali.com,cebukali@yahoo.com,School,Kali
Mano De Guerra Escrima ,"1150 D. Richardine, Austin ",78721,Texas,[512] 902 1228 / [512] 926 7 050,null,null,school,
Mid Cities Arnis,"NRH Centre, 6000 Hawk Ave., North Richland Hills ",76182,Texas,[682] 2077523,null,null,school,Arnis
Mousel's Self Defense Academy," 747 N. Shepherd, Suite 400, Houston ",77007,Texas,null,null,null,school,
PKA: Philippine Kali Association (Katipunan),"642 W. University Ave 152, Denton ",76201,Texas,[940] 4530030,null,null,school,Kali
Plano Self Defense,"1947 Ave K. Suite 200, Plano ",75075,Texas,[972] 6333773 ,null,null,school,
"Practical Defense Tactics (PDT), Guro  Mike Keller","P.O.Box 88, Sweetwater",79556,Texas,null,null,mrkeller@suddenlink.net,School,
Practical Defensive Tactics,"512 W. Broadway, Sweetwater ",79556,Texas,[325] 7253188 ,null,null,school,
Reid's Martial Arts Academy,"1434 N. Central Expressway Suite 109, McKinney ",75070,Texas,[972] 5482467,null,null,school,
Rister International Martial arts,"1119 Luke St. #113, Irving",75061,Texas,(972)-768-2721,www.ristermartialarts.com,null@null.com,School,
San Angelo Siete Pares,San Angelo,null,Texas,325-276-1329,Wnull,null@null.com,School,
Serrada Escrima of San Antonio,"San Pedro Park, San Antonio ",78201,Texas,null,null,null,school,Escrima
Siete Pares Escrima,San Antonio,null,Texas,[210] 3671877,null,null,school,Escrima
"Siete Pares Escrima, The Dojo Martial Arte School","6151 Nw Loop 410, Ste 100, San Antonio",null,Texas,210-367-1877,null,null@null.com,School,Escrima
"Street Smart Self-Defense Systems, Austin *Kyle/Buda*",New Braunfels,null,Texas,null,http://www.garimottx.com/,null@null.com,School,
U.S. Karate Systems,"505 W University Ave, Suite E, Georgetown ",78626,Texas,[512] 8692615,null,null,school,
Warrior's Way,"4020 Rhea Rd Ste 7C, Wichita Falls",76308,Texas,(940) 696-1254,http://warriorswaytx.com,null@null.com,School,
Warrior's Way Martial Arts Academy,"4020 Rhea Rd Ste 7c, Wichita Falls ",76308,Texas,[940] 6961254,null,null,school,
Wing Chun Kali System,"6982 Farm to Market 1960, Suite F Houston",77096,Texas,281-796-5296,http://wingchunkalisystem.com/,ramon@wingchunkalisystem.com,School,
Wu Hsin Kuen Academy of Martial Arts,"3909 W. Airport Freeway #200, Irving",null,Texas,[972] 7682721,null,null,school,
Hawaiian Kali Kempo (Concrete Kali System),Cedar City,84721,Utah,(435) 559-2425,null,null@null.com,School,Kali
Cielo y Tierra Arnis de Mano ,"2023 Candlelight Dr., Chesapeake ",23325,Virginia,[757] 424 7634,null,null,school,Arnis
Complete Fitness Concepts,"4425 Brookfiled Corp. Dr., Chantilly ",20151,Virginia,[703] 2838826,null,null,school,
Eastern Academy of Mixed Martial Arts,"3900 Bonney Road Suite 213, Virginia Beach ",23452,Virginia,[757] 4865200,null,null,school,
Filipino Fighting Arts Academy,"5347 Lila Lane, Suite 110, Virginia Beach ",23464,Virginia,[757] 4247005,null,null,school,
Impact Athletes Martial Arts Academy,"2421 Bowland Parkway, Suite 103, Virginia Beach ",23454,Virginia,[757] 6311003,null,null,school,
Muhammad's Boxing and Martial Arts," 10208/Kings Highway, King George ",22485,Virginia,[540] 7757555,null,null,school,
NoVa Modern Arnis,"8717 Trafalgar Ct., Springfield ",22151,Virginia,[571] 2399930,null,null,school,Arnis
World Kali Silat Society,"2400 Atlantic Ave. # 121, Virginia Beach ",23458,Virginia,[757] 3735060,null,null,school,Kali
Bellingham Modern Arnis,"1420 Pacific Place, Suite B, Ferndale,",98248,Washington,[360] 2240232,null,null,school,
Bird's Martial Arts," 5775 Soundview Dr,, Suite 101 A., Gig Harbor ",98335,Washington,[253] 8847914,null,null,school,
Blackbird Training Group,Kennewick,null,Washington,[206] 6123044,null,null,school,
Edmonds Martial Arts Academy,Renton ,98059,Washington,[425] 4304269,null,null,school,
FMS Alliance / Pinto Martial Arts,Spokane,null,Washington,[646] 5939650,null,null,school,
Hufana Traditional Arnis International,"14510 NE 20th Street, Suite 100, Bellevue ",98007,Washington,[425] 6438488,null,null,school,Arnis
International Serrada Eskrima Society,"2850 SW Yancy #116, Seattle ",98126,Washington,[206] 9358218,null,null,school,Eskrima
Kalahi Martial Arts Academy," Cascade Mall Dr., Burlington ",98233,Washington,[360] 7204313,null,null,school,
LESKAS (Ballard / Crown Hill neighborhood),"1475 NW 85th St., [in Ballard], Seattle ",98155,Washington,null,null,null,school,
Little Dojo,"1726 East Isaacs, Walla Walla ",99362,Washington,[509] 5273385,null,null,school,
Manaois Systems International Martial Arts Academy," 216 W. Broadway, Moses Lake ",98837,Washington,[509] 7710922,null,null,school,
Seattle Escrima Club,"917 E Yesler Way, Seattle ",98122,Washington,[234] 2060488,null,null,Club,Escrima
Seattle Filipino Martial Arts Academy,"5659 California Ave. SW, Seattle ",98136,Washington,[206] 6183992,null,null,school,
Seattle Modern Arnis Academy,"5740 Martin Luther King Jr. Way, Seattle ",98122,Washington,[206] 8598363,null,null,school,Arnis
"Lussier Family East YMCA, Inayan System III, Dave Swoboda","711 Cottage Grove Road, Madison",null,Wisconsin,608-609-8826,eskrimamadison.wordpress.com / www.ymcadanecounty.org/branches/eastymca.asp,dangle77@yahoo.com,School,
Nubreed Martial Arts Systems,Rock Springs ,82901,Wyoming,[307] 3890339,null,null,school,
Wyoming Combatives Group,"2145 W. Teton, Green River ",82935,Wyoming,[307] 8710907,null,null,school,
